OBRAS PUBLICAS, URBANISMO y TRANSPORTES	2012	81	102498198.84
CIENCIA, TECNOLOGIA Y UNIVERSIDAD	2012	293	81632944.51
AGRICULTURA, GANADERÍA Y MEDIO AMBIENTE	2012	24161	73081683.92
EDUCACION, CULTURA Y DEPORTE	2012	293	55603176.83
ECONOMÍA Y EMPLEO (INAEM)	2012	4704	52969949.31
DIVERSOS DEPARTAMENTOS	2012	14	46400131.90
ECONOMÍA, HACIENDA Y EMPLEO (INAEM)	2012	314	46012048.83
MEDIO AMBIENTE (IAA)	2012	231	35872722.00
EDUCACIÓN, UNIVERSIDAD, CULTURA Y DEPORTE	2012	1473	30752745.14
INDUSTRIA E INNOVACIÓN	2012	2749	28977164.61
INSTITUTO ARAGONÉS DE FOMENTO	2012	390	20626714.70
INDUSTRIA, COMERCIO Y TURISMO	2012	178	16541115.66
POLÍTICA TERRITORIAL, JUSTICIA E INTERIOR	2012	2	14127135.00
POLÍTICA TERRITORIAL E INTERIOR	2012	893	13112050.41
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IASS)	2012	361	10810587.00
AGRICULTURA Y ALIMENTACION	2012	41	9413599.45
ECONOMIA, HACIENDA Y EMPLEO	2012	20	8075916.70
SERVICIOS SOCIALES Y FAMILIA	2012	82	6680000.00
SANIDAD, BIENESTAR SOCIAL Y FAMILIA	2012	671	5372938.29
SERVICIOS SOCIALES Y FAMILIA (IASS)	2012	132	5144899.00
O. PÚBLICAS, URBANISMO, VIVIENDA Y TRANSPORTES	2012	136	4538166.42
PRESIDENCIA Y JUSTICIA	2012	917	3913076.60
ECONOMÍA Y EMPLEO	2012	93	3760708.08
PRESIDENCIA	2012	27	3333956.93
SALUD Y CONSUMO	2012	1	3000000.00
AGRICULTURA, GANADERÍA Y MEDIO AMBIENTE (IAA)	2012	66	1980929.00
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IAM)	2012	273	779401.56
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IAJ)	2012	71	436998.50
PRESIDENCIA DEL GOBIERNO DE ARAGÓN	2012	1	86000.00
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (SAS)	2012	6	80227.55
CONSEJO ECONÓMICO Y SOCIAL DE ARAGÓN	2012	2	19720.00
HACIENDA Y ADMINISTRACIÓN PÚBLICA	2012	1	14875.00
