O. PÚBLICAS, URBANISMO, VIVIENDA Y TRANSPORTES	SOCIEDAD CONCESIONARIA PUENTE DEL EBRO S.A.	2	282535003.76
OBRAS PUBLICAS, URBANISMO y TRANSPORTES	AYUNTAMIENTO DE ZARAGOZA	3	195000000.00
CIENCIA, TECNOLOGIA Y UNIVERSIDAD	UNIVERSIDAD DE ZARAGOZA	11	85891585.24
EDUCACIÓN, UNIVERSIDAD, CULTURA Y DEPORTE	UNIVERSIDAD DE ZARAGOZA	11	57757597.04
POLÍTICA TERRITORIAL, JUSTICIA E INTERIOR	CONSEJO DE COLEGIOS DE ABOGADOS DE ARAGÓN	3	39326730.00
OBRAS PUBLICAS, URBANISMO y TRANSPORTES	JUNTA DE COMPENSACIÓN SECTOR 89/3	3	31391220.00
AGRICULTURA, GANADERÍA Y MEDIO AMBIENTE	AGRUP ESPAÑOLA ENTIDADES ASEGURADORAS SE	16	29030859.53
DIVERSOS DEPARTAMENTOS	MANCOMUNIDAD TUROLENSE ELEVACION AGUAS DEL EBRO	1	27000000.00
INDUSTRIA E INNOVACIÓN	UNIVERSIDAD DE ZARAGOZA	69	23711837.47
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IASS)	AYUNTAMIENTO DE ZARAGOZA	8	22574967.50
